name,pos,age,height,weight,forty_yard,shuttle,vertical_jump,bench_press,psqarq
Darion Hall,RB,,5105,193,4.5,4.43,30.5,,102.8
Braylon Heard,RB,23.9,5095,198,4.53,4.4,30.5,19,102.4
Jay Alston,RB,,5051,177,4.59,4.37,34.5,,101.8
Ahmad Scott,RB,23.5,5076,182,4.63,4.33,34.5,16,101.7
Domonique Hayden,RB,23.7,5072,215,4.66,4.51,35.5,23,101.7
Anthony Taylor,RB,,5104,220,4.6,4.41,30.5,24,101.3
Joe Hill,RB,23.8,5103,184,4.28,4.59,34.5,9,101
Kevin Parks,RB,,5066,207,4.81,4.59,39.5,21,100.7
Brandon Betancourt,RB,,5096,185,4.78,4.18,35,13,100.1
Marcus Mason,RB,,5080,183,4.65,4.25,30,15,100
Damon Bullock,RB,22.4,5110,201,4.58,4.57,33.5,15,100
Kenny Hilliard,RB,24,5115,226,4.66,4.4,29,16,99.7
Josh Robinson,RB,23,5077,217,4.61,4.58,32,21,99.4
Ryan Brumfield,RB,,5086,184,4.68,4.35,35.5,17,99.2
Bo Bolen,RB,25,5096,227,4.74,4.45,31,22,98.7
Joe Bergeron,RB,22.9,6001,224,4.71,4.34,31,17,98.6
Donnell Kirkwood,RB,23.9,5075,217,4.74,4.44,34.5,21,97.8
Terron Ward,RB,23.6,5057,197,4.54,4.29,29.5,20,97.5
Ricky Seale,RB,23.8,5090,203,4.54,4.46,33.5,10,97.5
James Kenner,RB,,5111,209,4.87,4.47,35.5,15,97.4
Marcus Murphy,RB,23.9,5085,198,4.57,4.4,30.5,14,96.9
Marcus Coker,RB,23.3,5117,221,4.75,4.34,29.5,20,96.6
Jovontae Thurmon,RB,,5054,156,4.45,4.26,31.5,,96.5
Alapeti Magalei,RB,24.3,5082,220,4.75,4.52,33.5,19,95.8
D.J. Howard,RB,24,5107,200,4.62,4.57,30,20,95.6
David Glasco,RB,24,5102,209,4.74,4.6,34,15,95.6
Aaron Wimberly,RB,23.1,5085,179,4.5,4.43,29,14,95.3
Kyle Middlebrooks,RB,,5077,183,4.48,4.21,29,11,95.1
Alvin Jelks,RB,23.8,5115,220,4.71,4.37,30.5,16,94.6
Jesse Callier,RB,,5102,202,4.72,4.45,32.5,18,93.7
Justin Williams,RB,24.9,5103,180,4.6,4.41,30,12,93
Dee Hart,RB,23.2,5074,199,4.8,4.38,33,,92.7
Adonis Smith,RB,23.4,5100,194,4.78,4.39,32.5,13,91.6
Kelwin Burke,RB,,5080,192,4.58,4.52,31,,91.5
Adrian Alexander,RB,25.9,5061,167,4.44,4.38,28.5,8,91.3
Prince-Tyson Gulley,RB,23.3,5080,191,4.69,4.39,32,12,91.3
Jacquise Lockett,RB,,6010,242,4.65,5,29.5,15,90.2
Nathan Jeffery,RB,23.4,5110,208,4.66,4.78,33,11,89.4
Tevin Lake,RB,23.5,5086,209,4.97,4.5,32.5,15,88.9
Terrell Williams,RB,,5086,219,4.84,4.67,32,21,88.9
Dante Butler,RB,22,5084,211,4.75,4.57,31,13,87.9
Breon Allen,RB,21.8,5065,183,4.53,4.52,31,12,87.6
Shaq Richard,RB,22,5080,171,4.69,4.48,32,11,86.8
Khalek Shepherd,RB,,5074,189,4.71,4.44,29.5,14,86.5
Quincy Forte,RB,22.8,5100,189,4.75,4.44,30,7,86.1
Anthony Garland,RB,22.8,5112,229,4.83,4.34,30.5,8,85.7
Venric Mark,RB,23.9,5066,172,4.67,4.51,32,16,85.7
Dureal Elmore,RB,,5094,218,4.76,4.6,31,18,84.7
Desmond Roland,RB,23.5,6017,203,4.7,4.45,31.5,11,84.7
Cam Boyd,RB,22.8,5051,180,4.85,4.45,30,24,84
J.J. Hubbard,RB,,5065,162,4.6,4.43,27.5,13,83.3
Malcolm Cyrus,RB,,5082,179,4.8,4.25,33,10,82.7
Gerald Howse,RB,23.9,6006,229,4.88,4.53,28,13,82.2
Kevin Pope,RB,,5096,234,4.85,4.65,27.5,23,81.9
Hank McCloud,RB,23.6,5075,183,4.77,4.49,29,15,81.3
Andre Clarke,RB,23.9,5096,235,4.99,4.78,31,23,81.1
Theron West,RB,,5060,175,4.76,4.54,33.5,14,80.6
Treyvon Green,RB,,5092,224,4.92,4.37,28,12,80.4
Khary Franklin,RB,23.6,5053,177,4.73,4.5,32.5,12,79.8
Ken Malcome,RB,24,5106,217,4.86,4.62,27.5,14,79.5
Malcolm Creer,RB,22.8,5094,204,4.96,4.52,27.5,,77.6
Tony Moore,RB,,5086,221,4.77,4.68,28.5,14,76.5
Reggie Pegram,RB,23.9,5095,238,4.83,4.91,26.5,14,71.2
Kendall Houston,RB,24.9,5090,222,4.95,4.78,24.5,14,64.8
Rasheed Williams,RB,,6006,215,4.46,,,,
Rod Smith,RB,,6025,231,,,,,
name,pos,age,height,weight,forty_yard,shuttle,vertical_jump,bench_press,psqarq
Rod Smith,RB,,6025,231,,,,,
Chris Conley,WR,22.9,6017,213,4.35,4.3,45,18,141.8
Sammie Coates,WR,22.5,6013,212,4.43,4.06,41,23,137.7
Damarr Aultman,WR,23.7,5110,202,4.42,3.94,40.5,20,136.6
DeAndre Carter,WR,22.5,5084,185,4.4,3.8,38.5,17,134.8
Breshad Perriman,WR,22,6020,212,4.26,4,36.5,18,134.2
Arthur Williams,WR,23.9,5117,185,4.4,4.09,43,12,134
Damiere Byrd,WR,,5092,173,4.27,4.09,42,13,133.4
Kenny Bell,WR,23.6,6011,197,4.37,4.15,41.5,7,132.2
Phillip Dorsett,WR,22.8,5096,185,4.27,4.03,38,13,131.5
Kevin White,WR,23.2,6025,215,4.35,4.14,36.5,23,130.5
Cameron Meredith,WR,23,6033,207,4.47,4.12,39,14,130.1
Tyrell Williams,WR,,6034,204,4.42,4.17,39.5,,130
Rannell Hall,WR,22.9,6003,198,4.57,4.15,41,16,128.1
Tre McBride,WR,22.9,6002,210,4.41,4.08,38,16,127.7
Ty Montgomery,WR,22.7,5117,221,4.5,4.21,40.5,16,127.3
Chandler Worthy,WR,22,5077,176,4.38,4.17,39.5,17,127.2
Shakim Phillips,WR,23.5,6014,204,4.4,4.33,39,17,127
Geremy Davis,WR,23.7,6023,216,4.49,4.18,36.5,23,126.8
Jordan Leslie,WR,23.9,6015,204,4.41,4.08,36,18,126.4
Isiah Ferguson,WR,,6047,218,4.56,4.4,40,23,124.9
DaVaris Daniels,WR,22.8,6014,201,4.53,4.35,39.5,13,124.4
Darren Waller,WR,22.9,6061,238,4.46,4.25,37,12,124.3
Kasey Closs,WR,23.4,6014,212,4.47,4.2,39,20,124.1
Jaelen Strong,WR,21.7,6023,217,4.44,4.21,42,,123.8
Austin Willis,WR,,5090,175,4.32,4.21,39.5,21,123.7
Issac Blakeney,WR,22.9,6043,223,4.6,4.26,36.5,17,123.1
Gavin Lutman,WR,24.5,6021,206,4.46,4.07,36.5,9,123.1
Ross Apo,WR,,6030,212,4.53,4.27,36.5,12,122.3
DeVante Parker,WR,22.7,6025,209,4.45,4.33,36.5,17,122.2
Devin Funchess,WR,21.3,6042,232,4.47,4.48,38.5,17,121.7
Jawaun Wynn,WR,23.2,6026,211,4.56,4.12,38,18,121.7
Tyler Rutenbeck,WR,,6015,186,4.43,4.08,38,,121.7
Shaydon Kehano,WR,22.9,5103,185,4.48,4.07,37.5,21,121.4
Amari Cooper,WR,21.2,6007,211,4.42,3.98,34,,121
Paul Browning,WR,23.1,6022,218,4.54,4.42,37.5,18,121
Jeff Hill,WR,,6027,209,4.58,4.37,39.5,17,120.8
George Farmer,WR,22.2,6006,213,4.39,4.27,34.5,19,120.2
Nigel King,WR,22.9,6021,214,4.56,4.38,39.5,15,120.1
Jackie Williams,WR,23.8,5095,190,4.64,4.34,39.5,17,120.1
Devin Smith,WR,23.6,6003,196,4.42,4.15,39,10,120.1
Austin Hill,WR,24.1,6021,214,4.58,4.11,36.5,17,119.9
Isaac Fruechte,WR,24.6,6025,209,4.5,4.22,36,11,119.8
Mario Alford,WR,22.6,5084,180,4.27,4.07,34,13,119.7
Dezmin Lewis,WR,22.9,6036,214,4.46,4.28,37,16,119.5
Ricky Zorn,WR,24.3,6001,191,4.54,4.17,38,14,119.4
Reggie Bell,WR,23.3,5107,196,4.6,4.26,40,,119.2
Matt James,WR,23.9,6045,211,4.55,4.44,36,16,118.6
Tyler McCulloch,WR,22.4,6045,218,4.49,4.3,37,9,118.3
Andre Debose,WR,,5115,190,4.42,4.09,37.5,12,118
Mario Hull,WR,23,5117,203,4.58,4.33,40,18,118
Da'Ron Brown,WR,24,6001,205,4.54,4.11,37,17,117.9
Neal Sterling,WR,,6033,238,4.62,4.25,35.5,19,117.8
Evan Spencer,WR,22.3,6013,208,4.45,4.29,35,20,117.1
Lucky Whitehead,WR,23.3,5094,179,4.37,4.18,36,20,117.1
Bradley Marquez,WR,22.8,5104,196,4.53,4.04,38,11,117
James Butler,WR,23.6,6023,212,4.5,4.39,36.5,22,116.9
Desmond Lawrence,WR,20.9,5095,190,4.35,4.15,34.5,18,116.7
Devante Davis,WR,22.9,6027,220,4.57,4.12,35.5,16,116.6
Ross Scheuerman,WR,22.6,5117,204,4.4,4.11,33,15,116.5
Joshua Stangby,WR,25,5095,180,4.5,4.34,40.5,16,116.5
Roston Tatum,WR,24.1,6002,216,4.52,4.25,36.5,18,116.4
Cam Worthy,WR,23.5,6022,211,4.52,,36.5,12,116.3
DeAndrew White,WR,23.9,5114,193,4.4,4.18,36,,116
DiAndre Campbell,WR,,6011,210,4.52,4.51,37.5,16,116
Dres Anderson,WR,23.1,6011,187,4.49,4.15,36.5,13,115.9
Nelson Agholor,WR,22.3,6001,198,4.42,4.34,36.5,12,115.7
Darius Davis,WR,25.5,5110,226,4.53,4.4,37.5,17,115.5
Larry Pinkard,WR,23.6,6001,196,4.5,4.31,36.5,18,115.5
Denarius Appling,WR,23.9,5056,160,4.35,4.08,40,7,115.4
Donteea Dye,WR,,5092,186,4.41,4.22,36.5,17,115.4
Tony Pierson,WR,,5096,173,4.41,4.35,37,9,115.4
Devon Wright,WR,24,5114,195,4.51,4.22,38.5,14,115.3
Larry Pinkard,WR,,6001,196,4.51,4.31,36.5,18,115.3
Dorial Green-Beckham,WR,22.5,6051,237,4.49,4.36,33.5,13,115.2
Tello Luckett,WR,24.7,5116,211,4.37,4.4,35.5,18,115.2
Devon Stewart,WR,,6015,230,4.66,4.53,40.5,20,115
Dante Burton,WR,,6022,235,4.57,4.51,38.5,,115
Adam Drake,WR,,6016,195,4.55,4.15,38,11,114.9
Spencer Kulcsar,WR,,5090,197,4.66,4.1,39,21,114.9
Tyler Lockett,WR,23,5097,182,4.4,4.07,35.5,,114.5
Antwan Goodley,WR,24,5102,209,4.44,4.38,35,,114.4
Bud Sasser,WR,23.3,6025,219,4.52,4.38,34.5,18,114.3
Jarrod West,WR,23.3,6017,212,4.56,4.19,35.5,19,114
Lemar Durant,WR,23,6015,227,4.61,4.56,37,27,113.3
R.J. Harris,WR,23.3,5117,191,4.51,4.2,37.5,18,113.3
Jordan Taylor,WR,23.6,6043,209,4.5,4.46,36.5,9,113.1
Damond Powell,WR,22.9,5104,178,4.52,4.38,36.5,,113.1
J.J. Nelson,WR,23.4,5102,156,4.28,4.15,36,,112.9
Jaxon Shipley,WR,23.1,6001,192,4.49,4.37,35.5,10,112.8
Aaron Bradley,WR,24.9,5114,204,4.57,4.21,36,14,112.7
Quinton Dunbar,WR,25.7,6017,199,4.43,4.16,35,7,112.6
Joe Craig,WR,23.4,5105,167,4.45,4.06,36,7,112.5
Kenzel Doe,WR,23.3,5074,175,4.53,4.29,37,22,112.4
Brandon Terry,WR,23.7,6047,212,4.43,4.41,32.5,23,112.3
Eli Rogers,WR,22.8,5100,187,4.56,4.1,34.5,19,112.1
Andrew Robustelli,WR,22.4,6026,212,4.56,4.27,34.5,15,112
Nick Harwell,WR,24.7,5112,193,4.48,4.2,34.5,9,111.9
Shane Wynn,WR,22.9,5060,167,4.3,4.25,36,13,111.8
Tyler Duncan,WR,23,5114,199,4.48,4.18,33.5,,111.8
Kevonte Martin-Manley,WR,21.9,6001,198,4.57,4.21,35.5,,111.8
Jamison Crowder,WR,22.2,5083,185,4.43,4.26,37,10,111.4
Devon Hughes,WR,,5115,183,4.69,4.17,37.5,15,111.3
Anthony Johnson,WR,24.2,6016,199,4.6,4.19,35.5,13,111.2
Jerrel Brown,WR,,5115,192,4.58,4.2,37,5,110.9
Deontay Greenberry,WR,21.6,6010,211,4.5,4.31,35.5,21,110.8
Vince Mayle,WR,24.3,6020,224,4.67,4.13,35.5,,110.7
Damien Watts,WR,,5077,196,4.66,4.28,38.5,15,110.6
Earvin Anumgba,WR,22.3,5111,197,4.54,4.37,38,7,110.5
Drew Phillips,WR,,5106,196,4.54,4.27,35,17,110.4
Nick Demski,WR,,5114,204,4.56,4.19,32.5,19,110.3
John Harris,WR,,6023,213,4.57,4.45,33.5,19,110.1
Joseph Matthews,WR,,6014,205,4.69,4.01,32.5,12,109.8
Vernon Johnson,WR,23.4,6000,196,4.53,4.47,37,18,109.8
Rashad Greene,WR,23,5113,182,4.53,4.12,36.5,,109.6
Taylor Belsterling,WR,,6043,204,4.54,4.15,36,11,109.6
Stefon Diggs,WR,21.9,6000,195,4.46,4.11,35,11,109.5
Bryan Underwood,WR,23.3,5087,176,4.51,4.25,35,10,109.4
Hi-C Scott,WR,22.7,5076,188,4.52,4.22,37,13,109.3
Alex Kenney,WR,24,5112,191,4.52,4.31,39,11,109.3
Darius Jennings,WR,,5103,169,4.47,4.29,37,,109.1
Julian Burton,WR,23.6,5081,184,4.53,4.1,42,9,109
L.T. Smith,WR,23.3,6002,193,4.52,4.39,36.5,14,109
Levi Norwood,WR,23.2,6004,197,4.57,4.19,34.5,,108.9
Justin Hardy,WR,23.8,5102,192,4.56,4.21,36.5,11,108.9
Daniel Brown,WR,,6046,227,4.59,4.18,31.5,11,108.8
Cole McDaniel,WR,21.9,6032,210,4.63,4.53,36,,108.8
Dawan Scott,WR,23.3,5114,196,4.6,4.4,38.5,15,108.7
Keith Mumphery,WR,23.3,5115,215,4.54,4.25,32.5,15,108.7
Demetrius Wilson,WR,24.4,6013,188,4.45,4.34,35,4,108.4
Joshua McCain,WR,23.7,6010,182,4.68,4.21,36,,108.4
Isiah Myers,WR,,6004,188,4.64,4.42,38.5,9,108.3
Lechein Neblett,WR,23.7,5113,195,4.57,4.17,34.5,15,108.3
Devin Gardner,WR,23.8,6034,218,4.62,4.42,35.5,15,108.1
Demon Bolt,WR,24.8,5092,209,4.59,4.27,35.5,11,108.1
Byron Dickerson,WR,,6014,195,4.68,4.32,41,13,107.9
Michael Johnson,WR,24,6007,207,4.63,4.38,32.5,19,107.9
E.J. Scott,WR,23.2,5101,186,4.61,4.33,35.5,21,107.8
Ben Ijah,WR,23.7,6013,207,4.64,4.37,37,13,107.7
Ify Umodu,WR,23.1,6020,216,4.6,4.53,35,18,107.7
Jeret Smith,WR,22.7,5096,212,4.52,4.33,36,11,107.6
Trevor Harman,WR,22.9,6012,199,4.61,4.21,31,19,107.5
