name,pos,age,height,weight,forty_yard,shuttle,vertical_jump,bench_press,psqarq
Johnathan Williams,QB,,5100,197,4.68,4.45,31,11,87.9
Michael Cummings,QB,,5097,225,5.04,,29,21,87.7
Dallas Tidwell,QB,,6071,220,5.09,4.43,30.5,,87.5
Jared Goff,QB,21.9,6040,215,4.82,4.47,27,,86.5
Mark Iannotti,QB,,6015,216,4.92,4.4,30.5,,86.1
Blake Decker,QB,,6001,212,4.93,4.47,30,,85.6
Joe Licata,QB,,6020,213,4.93,4.44,31,,85
Dontreal Pruitt,QB,,5100,183,4.86,4.45,31,13,83.3
Joe Gray,QB,,6000,203,4.9,4.42,29.5,14,82.7
Michael Eubank,QB,,6045,246,5.18,4.71,28,,80.6
Jonathan Newsom,QB,,6007,194,4.84,4.48,31,12,79.6
Jesse Scroggins,QB,,6014,220,5.05,4.47,28.5,,78.1
Nick Arbuckle,QB,,6000,225,5.23,4.65,27,,74.2
Brandon Doughty,QB,,6026,213,5.22,4.52,27,,66.8
Nate Sudfeld,QB,22.9,6061,234,,,29,,
name,pos,age,height,weight,forty_yard,shuttle,vertical_jump,bench_press,psqarq
Nate Sudfeld,QB,22.9,6061,234,,,29,,
Terron Beckham,RB,,6000,223,4.47,4.18,44.5,36,149.5
Darius Jackson,RB,,6010,220,4.35,,41,,149.4
Daniel Lasco,RB,23.9,6002,209,4.46,4.13,41.5,23,147
Dan Vitale,FB,22.9,6007,239,4.6,4.12,38.5,30,134.7
Tyreek Hill,RB,,5081,185,4.29,4.06,40.5,13,143.4
DeMarrion Buford-Hughes,FB,,6025,211,4.56,4.21,38.5,24,122.9
Derrick Henry,RB,22.1,6025,247,4.54,4.38,37,22,132.7
Brandon Burks,RB,,5085,208,4.56,4.18,37,24,130.7
Don Jackson,RB,,5096,206,4.47,4.1,38,15,130.5
Jhurell Pressley,RB,,5101,206,4.4,4.15,33.5,25,129.6
Tyler Ervin,RB,22.9,5097,192,4.41,4.34,39,17,128.9
Kenneth Farrow,RB,,5094,219,4.59,4.14,38,23,128.2
Andy Janovich,FB,23.3,6010,238,4.81,4.32,34,30,116.1
Zac Brooks,RB,,5117,199,4.49,4.38,36,18,126.5
Glenn Gronkowski,FB,23.4,6021,239,4.71,4.45,33,17,115.5
C.J. Prosise,RB,22.3,6004,220,4.48,,35.5,,125.7
Kenneth Dixon,RB,22.6,5101,215,4.58,4.28,37.5,18,125.6
Corvin Lamb,RB,,5084,207,4.44,4.1,34,22,124.9
DeAndre Mann,RB,,5083,201,4.68,4.27,38,23,124.2
Derek Watt,FB,,6020,235,4.75,4.29,33.5,19,112.8
Troymaine Pope,RB,,5077,205,4.55,4.21,35,25,123.6
Max DeLorenzo,FB,,5107,214,4.61,4.23,32.5,19,111.6
Michael Felton,FB,,5113,242,4.63,4.4,33,18,111.4
Marshaun Coprich,RB,22.1,5080,207,4.47,4.42,39,17,121.6
Brandon Wilds,RB,23.1,6006,220,4.54,4.33,36.5,21,121.5
Soma Vainuku,FB,24.3,5114,246,4.63,4.46,32,26,110
Josh Ferguson,RB,23.3,5094,198,4.48,,34.5,21,120.7
Joe Kerridge,FB,,6000,245,4.89,4.24,34.5,24,108.9
DeAndre Washington,RB,23.5,5082,204,4.49,4.2,34.5,24,120.1
David Jones,RB,,5111,210,4.65,4.02,36,16,120
Ezekiel Elliott,RB,21.1,5116,225,4.47,,32.5,,120
Keith Marshall,RB,22.5,5113,219,4.31,4.25,30.5,25,119.5
Wendell Smallwood,RB,22.6,5104,208,4.47,4.28,33.5,14,119.5
Ben Hutchins,RB,,5073,186,4.69,4.18,35,21,119.3
Jordan Jurasevich,FB,,6030,248,4.86,4.52,35.5,26,107.7
Jeff Seybold Jr,RB,,5085,209,4.65,4.25,35,20,118.9
Jacobi Green,RB,,5090,204,4.63,4.17,33.5,23,118
Romar Morris,RB,,5085,188,4.36,4.31,38,15,117.5
Ryan Jackson,RB,,5094,189,4.62,4.2,37,,116.6
Kenyan Drake,RB,22.6,6005,210,4.45,4.21,34.5,10,116.6
Adam Cox,FB,,5102,238,4.76,4.39,34,25,104.6
Broderick Snoddy,RB,,5085,192,4.46,4.22,32,15,116.3
Miles Thomas,FB,,5101,241,4.82,4.38,31,32,104.4
CJ Ham,RB,,5112,231,4.69,4.35,37,22,115.6
J.C. Coleman,RB,,5060,189,4.55,4.27,37,19,114.6
Khairi Dickson,RB,,5103,201,4.69,4.38,34.5,24,114.4
Adam Hine,FB,,6005,213,4.76,,32,21,102.4
Tre Madden,RB,23,6002,223,4.56,4.38,33.5,24,114.2
Trevon Pendleton,FB,,5106,241,4.83,4.47,34,24,102
Paul Perkins,RB,21.8,5103,208,4.54,,32,19,114
Devon Johnson,RB,23.1,6004,238,4.61,4.6,33,,113.9
Peyton Barber,RB,22.2,5100,228,4.6,4.21,32.5,20,113.8
Jordan Canzeri,RB,,5076,190,4.49,4.17,34.5,20,113.5
Tim Gay,FB,,5106,259,4.89,4.41,33,18,101.4
Chris Hairston,RB,,5110,199,4.54,4.34,33,18,113.2
Cedric Thompson,FB,,6000,238,4.85,4.32,28,23,100.8
Anthony Bilal,RB,,5061,185,4.62,4.26,40.5,20,112.7
Macon Plewa,FB,,6007,250,4.83,4.45,31,19,100.3
Sione Houma,FB,,5113,243,4.87,4.46,31,27,99.5
Sam Bergen,FB,,5112,248,4.87,4.46,30.5,28,99.5
Storm Barrs-Woods,RB,,5111,211,4.71,4.38,37,17,111.8
Donnell Alexander,RB,,5094,203,4.63,4.19,34,20,111.7
Shad Thornton,RB,,5115,217,4.67,4.21,31,12,110.8
Dakota Gordon,FB,,5093,236,4.81,4.44,31,30,98.2
C.J. Davidson,RB,,5093,201,4.59,4.53,37.5,19,109.4
Alex De La Torre,FB,,6003,251,4.91,4.38,28,25,96.8
Shaquille Powell,RB,,5091,210,4.63,4.23,31.5,23,108.9
Taylor Cox,RB,,5105,208,4.69,4.41,37,18,108.1
DeVontae McNeal,RB,,5101,219,4.63,4.63,38,28,108
Rodney Mills,FB,,6002,220,4.64,4.67,32,14,94.6
Tyler Hunt,RB,,5103,212,4.63,4.49,34,,107.1
Alex Collins,RB,22,5100,217,4.59,,32.5,18,107
Christian Powell,RB,,5112,229,4.68,4.38,34.5,15,106.5
Rodrick Williams Jr.,RB,,5091,224,4.7,4.41,35,14,105.9
Terrance Timmons,RB,,5072,184,4.49,4.35,32.5,20,105.7
Pereese Joas,RB,,5051,173,4.64,4.16,33.5,13,105.5
Remound Wright,RB,,5077,202,4.71,4.37,34.5,20,105.3
Grant Widmer,FB,,6025,225,4.94,4.53,30.5,22,92.1
Torrey Pierce,RB,,5084,177,4.63,4.28,34,8,104.9
D.J. Morgan,RB,,5104,180,4.55,4.47,38,,104.9
Seth Fisher,FB,,6006,231,4.83,4.34,28.5,28,91.6
Paul James,RB,,5115,206,4.73,4.46,34.5,4,104.6
Imani Cross,FB,,5114,233,4.93,4.38,30.5,24,91.4
Jared Baker,RB,,5075,192,4.49,4.25,32.5,17,104.4
Luke Turner,FB,,6002,233,4.79,4.5,29.5,24,91.4
Dazmond Patterson,RB,,5070,184,4.63,4.57,36.5,19,102.5
Ashton Broyld,FB,,6024,221,4.82,4.63,30.5,14,89
Steven Walker,FB,,6013,231,4.93,4.6,32.5,23,88.2
Darryan Ragsdale,RB,,5095,187,4.59,4.32,34.5,13,101.1
Trayion Durham,FB,,6004,259,4.93,4.44,31,18,87.4
Mandel Dixon,FB,,6014,231,4.85,4.6,30,17,87.3
Marteze Waller,RB,,5106,216,4.67,4.57,33.5,23,100.4
Joseph Puopolo,FB,,5091,227,4.83,4.5,28,27,86.8
Kelvin Taylor,RB,22.9,5102,207,4.6,4.56,32,17,99.5
Vincent Croce,FB,,6030,253,5.05,4.65,29.5,20,85.4
Kyle Payton,FB,,6023,256,5.09,4.46,28.5,26,85
Robert Lowe,RB,,5093,204,4.81,4.46,32.5,15,98.6
Hosey Williams,RB,,5065,196,4.68,4.52,33.5,22,98.2
Devin Campbell,RB,,5114,214,4.77,4.31,30.5,22,96.9
Kirk Spencer,RB,,5095,197,4.82,4.32,35,14,95.6
Jalen Richard,RB,,5083,207,4.6,4.95,35.5,13,94.9
David Anaya,RB,,5094,200,4.7,4.47,30,15,94.9
Chris Nutall,RB,,5067,201,4.92,4.6,36,17,94.7
Josh Gross,FB,,6011,229,4.94,4.59,26.5,12,80.7
Geremy Alridge-Mitchell,RB,,5075,202,4.76,4.74,35.5,18,93.5
Jake Manley,FB,,6011,252,5.16,4.57,30,22,79.1
Bo Brummel,FB,,6024,240,5.08,4.59,28.5,21,78.6
Russell Hansbrough,RB,,5077,192,4.63,4.56,30.5,17,91.3
DyShawn Mobley,RB,,5106,216,4.69,4.65,30.5,24,90
Logan Nemeth,RB,,5086,185,4.78,4.31,,10,89.1
Quan Weaver,RB,,5104,201,4.92,4.57,31,,88.6
Elijhaa Penny,RB,,6007,244,4.81,4.55,28.5,21,88
Jamuel Jones,RB,,5076,192,4.78,4.65,31,21,87.7
Jordan Murphy,FB,,5112,232,4.85,4.61,27,22,73
Kendall Patterson,FB,,6004,236,4.89,4.69,28,23,72.1
Jahleel Pinner,FB,,5106,240,4.92,4.69,28,17,71.8
Effrem Reed,RB,,5083,210,4.82,4.68,33,18,85.1
Anthony Jordan,RB,,5112,212,4.74,4.39,27.5,16,84.1
Travis Greene,RB,,5100,200,4.69,4.58,26.5,19,83.3
Javae Swindle,RB,,5046,158,4.7,4.57,31.5,10,81.8
Blake Veasley,RB,,5117,205,4.76,4.69,30.5,20,81.4
Otis Wright,RB,,5094,167,4.71,4.47,30,3,80.2
Klartel Claridy,RB,,5083,201,4.78,4.72,29.5,19,77.6
Chase Price,RB,,5061,199,4.74,4.54,26.5,23,73.9
Devontae Booker,RB,24.3,5106,219,,,,22,
Jonathan Williams,RB,22.6,5106,220,4.63,4.29,,16,
Jordan Howard,RB,21.8,5117,230,,,34,16,
Quayvon Hicks,FB,22.1,6007,259,,,,,
Tra Carson,RB,23.9,5112,227,,,,19,
name,pos,age,height,weight,forty_yard,shuttle,vertical_jump,bench_press,psqarq
Tra Carson,RB,23.9,5112,227,,,,19,
Moritz Boehringer,WR,,6040,227,4.45,4.1,39,17,141.9
Josh Doctson,WR,23.7,6020,202,4.5,4.08,41,14,133.9
Corey Coleman,WR,22.2,5105,194,4.4,,40.5,17,133.9
Devon Cajuste,WR,23.6,6036,234,4.57,4.2,36,14,133.4
Justin Berger,WR,,6013,204,4.45,4.14,37.5,20,131.8
Ricardo Louis,WR,22.4,6016,215,4.43,4.32,38,18,129
Marcus Johnson,WR,,6007,204,4.38,4.39,37,22,128.3
Tevaun Smith,WR,,5105,205,4.38,4.26,38,13,128
Trevor Davis,WR,23.2,6011,188,4.42,4.22,38.5,11,127.6
Davonte Allen,WR,,6013,208,4.57,4.44,39,15,127.3
Reggie Diggs,WR,,6033,214,4.64,4.29,38.5,12,126.7
Tre Roberson,WR,,5117,196,4.52,4.2,37.5,14,126.6
Michael Thomas,WR,22.5,6026,212,4.57,4.13,35,18,126.5
Chris Moore,WR,23.2,6010,206,4.53,4.2,37,10,126.2
Mitch Mathews,WR,,6055,222,4.49,4.25,36,12,126.1
Jake Lampman,WR,,5112,200,4.47,4.35,39,27,125.9
Quenton Bundrage,WR,,6006,206,4.48,4.06,37.5,17,125
Marquez North,WR,21.4,6024,223,4.48,4.13,35,17,123.9
Sterling Shepard,WR,23.6,5102,194,4.48,4.35,41,20,123.6
Valdez Showers,WR,,5114,197,4.51,4.24,35,11,123.3
Dom Williams,WR,,6025,198,4.4,4.28,40.5,11,122.9
Kolby Listenbee,WR,22.6,6000,197,4.35,,35.5,15,122.7
Jalin Marshall,WR,21.1,5104,200,4.6,4.13,37.5,16,122.7
Malcolm Mitchell,WR,24.1,5115,198,4.45,4.34,36,15,122.5
D.J. Foster,WR,22.8,5102,193,4.46,4.07,36,14,122.4
Gary Chambers,WR,,6032,211,4.52,4.3,36,16,122.2
Johnny Holton,WR,,6005,190,4.42,4.2,36.5,8,121.6
Braxton Miller,WR,23.8,6013,201,4.5,4.07,35,17,121.5
Mekale McKay,WR,23.1,6035,207,4.55,4.29,37.5,12,120.8
Chester Rogers,WR,,5111,185,4.51,4.07,36,15,120.4
DeAnthony Arnett,WR,,5111,184,4.54,4.27,38.5,,120.1
Charone Peake,WR,23.9,6023,209,4.38,4.46,35.5,12,119.8
Maurice Morgan,WR,,6015,231,4.54,4.29,33,9,119.7
Daje Johnson,WR,,5083,184,4.48,,38,18,119.6
Rollins Stallworth,WR,,6024,204,4.63,4.23,37,12,119.5
Devin Fuller,WR,,6000,194,4.39,4.07,36,,119
Paul Turner,WR,,5100,193,4.55,4.31,39,18,118.8
Max McCaffrey,WR,,6020,196,4.46,4.15,36.5,9,118.2
Carlos Wiggins,WR,,5080,161,4.4,4.28,38.5,5,118.2
Melvin Ray,WR,,6017,208,4.6,4.2,35.5,,118.1
Jamal Robinson,WR,,6015,212,4.5,4.39,36.5,24,117.8
Will Fuller,WR,22.4,6001,186,4.32,4.27,33.5,10,117.7
Demarcus Robinson,WR,21.9,6013,203,4.58,4.19,34.5,9,117.2
Chris King,WR,,6005,202,4.51,4.36,37,8,116.8
Darius Powe,WR,,6027,220,4.49,4.29,34.5,17,116.7
Bryce Treggs,WR,,5113,190,4.39,4.19,34,16,116.7
Keyarris Garrett,WR,23.9,6033,220,4.53,4.33,36.5,14,116.6
Alex Chisum,WR,,6023,204,4.61,4.26,34.5,19,116.5
Kenneth Scott,WR,,6020,209,4.74,4.36,38,17,116.4
Damarcus Robinson,WR,,6024,203,4.59,4.19,34.5,9,116.3
Miles Shuler,WR,,5094,173,4.4,4.1,33.5,,116
Marken Michel,WR,,5105,193,4.57,4.29,35.5,25,115.6
Robby Anderson,WR,,6027,187,4.36,4.27,36.5,8,115.6
Leonte Carroo,WR,22.6,5117,211,4.5,,35.5,14,115.4
Wesley Leftwich,WR,,6007,209,4.59,4.42,36.5,22,115.1
Mike Thomas,WR,,6012,193,4.54,4.26,36,16,114.9
Alex Erickson,WR,,5117,195,4.54,4.1,34.5,14,114.4
Jay Lee,WR,,6016,215,4.53,4.28,33.5,13,114.3
Marquis Bundy,WR,,6041,212,4.49,4.39,32,15,113.4
Devin Lucien,WR,,6004,201,4.49,4.3,34.5,13,113.3
Dustin Creel,WR,,6020,201,4.62,4.4,37.5,16,113
Jordan Payton,WR,23,6011,207,4.47,4.33,34.5,,113
Jakeem Grant,WR,,5057,165,4.37,4.03,36.5,15,112.1
Casey Martin,WR,,5084,178,4.55,4.1,36.5,23,112
Cody Core,WR,22.4,6025,205,4.47,,31.5,14,111.9
Roman Namdar,WR,,5113,188,4.54,4.25,36,19,111.8
Garrett Kidd,WR,,6007,197,4.59,4.17,34.5,,111.2
Tyler Boyd,WR,21.8,6014,197,4.52,4.35,34,11,110.9
Marquise Cushon,WR,,5082,172,4.55,4.36,36.5,11,110.8
Damien Washington,WR,,5117,190,4.47,4.31,35,16,110.6
Teddy Ruben,WR,,5080,173,4.61,4.13,36,16,109.4
T.J. Thorpe,WR,,5110,206,4.65,4.2,34.5,17,109.1
Thomas Carter III,WR,,5093,179,4.59,4.09,33,5,108.7
Connor Arlia,WR,,5083,181,4.63,4.08,36.5,11,108.6
Daniel Lilienthal,WR,,6015,200,4.71,4.33,36,17,108.4
Andre McCullouch,WR,,5117,204,4.55,4.34,38,15,108.3
Donovan Harden,WR,,5097,167,4.57,4.19,37.5,,108.2
David Dudeck,WR,,5092,190,4.65,4.22,37.5,,108.1
Nyiakki Height,WR,,6001,195,4.63,4.57,38,8,108
Andre Davis,WR,,5105,202,4.63,4.29,32.5,16,107.9
Bralon Addison,WR,22.9,5092,197,4.66,4.14,34.5,13,107.9
Brandon Shippen,WR,,5105,195,4.55,4.2,31.5,17,107.2
Tre Parmalee,WR,,5094,178,4.6,4.38,36,9,107.2
Jordan Williams,WR,,6027,227,4.64,4.45,33.5,21,106.7
Danny Anthrop,WR,,5116,187,4.49,4.15,30.5,,106.7
AJ Troup,WR,,6017,211,4.53,4.37,34,20,106.6
Adam Smith,WR,,5094,172,4.49,4.17,34.6,8,106
Anthony Carrington,WR,,6004,199,4.49,4.4,35.6,,105.7
Andrew Fischer,WR,,5090,173,4.58,4.46,37,21,105.6
Jordan Bergstrom,WR,,5096,189,4.48,4.21,32,14,105.6
William Ricard,WR,,5102,197,4.66,4.26,36.3,,105.4
Pierre Youngblood-Ary,WR,,6017,194,4.57,4.09,29,8,104.9
Andrew Stone,WR,,5096,173,4.54,4.33,37.5,,104.8
Dejzon Walker,WR,,6006,221,4.59,4.31,34,,104.7
Kowan Scott,WR,,6035,195,4.62,4.35,34.5,11,104.7
Nelson Spruce,WR,23.7,6011,206,4.58,4.2,35,12,104.6
Tajae Sharpe,WR,21.7,6020,194,4.55,,33.5,11,104.6
Geronimo Allison,WR,22.6,6032,196,4.56,4.28,34.5,,104.6
Anthony Williams,WR,,5011,188,4.61,4.22,33,16,104.5
Byron Johnson,WR,,6006,199,4.67,4.48,38,7,104
Roger Lewis,WR,22.8,6003,201,4.45,4.45,36,8,103.8
Bryan Holmes,WR,,5107,188,4.61,4.39,33,16,103.7
Hansell Wilson,WR,,5087,186,4.55,4.32,36.5,14,103.4
Deandre Reaves,WR,,5090,177,4.53,4.38,32,10,103.4
Andrew Pratt,WR,,6045,205,4.67,4.44,31.5,,103.4
Kenny Lawler,WR,22.2,6024,203,4.64,4.18,34.5,,103.2
Ellis Henderson,WR,,5110,195,4.63,4.3,38,10,103
Dezmon Epps,WR,,5080,171,4.58,4.3,33.5,7,102.9
Dennis Parks,WR,,6014,201,4.61,4.48,32.5,10,102.8
Shane Mikeskey,WR,,6033,223,4.66,4.39,33,20,102.5
Logan Sweet,WR,,6000,192,4.57,4.24,32,15,102.4
Tommylee Lewis,WR,,5063,170,4.48,4.22,34,11,102.4
Ed Eagan,WR,,5102,192,4.48,4.48,34,6,102.1
Durron Neal,WR,,5110,194,4.54,4.46,32.5,13,101.7
Shaq Washington,WR,,5076,178,4.63,,34,25,100.9
DeMarcus Ayers,WR,22.2,5093,182,4.69,4.35,35,,100.8
Cayleb Jones,WR,23.4,6025,209,4.65,4.14,33.5,9,100.7
Aaron Burbridge,WR,22.7,6000,206,4.53,4.31,30.5,20,100
Joey Herrick,WR,,6005,211,4.66,4.4,34.5,12,99.9
Juwan Brescacin,WR,,6034,227,4.62,4.59,36.5,9,99.9
Kendrick Singleton,WR,,6005,204,4.65,4.24,32,23,99.8
Hunter Sharp,WR,22.4,5114,198,4.58,4.19,32.5,12,99.8
Duke Williams,WR,,6022,229,4.71,,30.5,,99.7
Ben Roberts,WR,,6024,208,4.75,4.25,34.5,8,99.3
Anthony Bricker,WR,,6002,205,4.63,4.4,33.5,10,99.1
Devon Blackmon,WR,,6000,186,4.53,4.28,32,10,98.4
Taurice Scott,WR,,5092,184,4.64,4.31,33,11,98.2
Devon Price,WR,,5100,187,4.53,4.2,33,8,98.2
Rashon Ceaser,WR,,5115,183,4.59,4.25,33.5,14,98
David Richards,WR,,6026,205,4.68,4.39,33,13,97.8
Anthony Abeid,WR,,5075,175,4.67,4.12,34,17,97.3
Alonzo Russell,WR,23.9,6035,206,4.5,4.33,30.5,12,97.3
Terell Smith,WR,,5112,208,4.65,4.6,34.5,10,96.8
Braxton Bearden,WR,,5100,188,4.54,4.47,33,12,95.9
Jamal Turner,WR,,5104,178,4.81,4.06,34,9,95.4
Jeff Glover,WR,,6037,219,4.74,4.37,33,19,95.3
Rashard Higgins,WR,21.9,6013,196,4.64,4.52,32.5,13,95.3
Bubba Poole,WR,,6004,183,4.72,4.2,32.5,12,95.3
SeQuan Gooding,WR,,5116,200,4.64,4.35,29.5,13,95.2
Byron Marshall,WR,22.5,5093,201,4.56,4.19,29.5,17,94.7
C.J. Best,WR,,5094,176,4.71,4.29,30,17,94.5
KJ Maye,WR,,5081,191,4.61,4.35,33,10,93.8
Jacob Hillyer,WR,,6026,211,4.81,4.26,32,,93.7
Aaron Grubb,WR,,5075,176,4.69,4.46,35,18,93.7
Jaquon Goodman,WR,,6026,217,4.78,4.45,32,17,93.1
Quinshad Davis,WR,,6033,218,4.69,4.35,31.5,17,92.9
Joshua Bowen,WR,,5087,175,4.74,4.19,34.5,8,92.8
Rayshad Riddick,WR,,5077,189,4.68,4.44,31.5,17,92.4
Daniel Braverman,WR,,5097,175,4.53,4.16,28.5,10,92.4
Taariq Allen,WR,,6017,195,4.82,4.3,30,8,92.3
Jamaal Jones,WR,,6005,189,4.59,4.5,36,18,92.2
Devin Hardy,WR,,6007,179,4.67,4.58,34.5,8,92
Imani Davis,WR,,5091,175,4.62,4.43,32.5,11,91.9
D'haquille Williams,WR,24.3,6022,229,4.72,4.47,30,14,91.8
Herve Coby,WR,,6000,175,4.77,4.28,31.5,6,91.8
Joe Hansley,WR,,5093,168,4.57,4.5,36.5,4,91
Marvin Shinn,WR,,6026,207,4.66,4.44,30.25,15,90.9
Daryl Collins,WR,,5106,198,4.67,4.47,30.2,4,90
Demitri Knowles,WR,,5117,184,4.63,4.71,35,,89.5
Max Morrison,WR,,6003,181,4.73,4.42,31,,88.6
Jarvis Bentley,WR,,6041,192,4.92,4.49,35,3,87.4
Richard Mullaney,WR,,6021,204,4.76,4.39,30,12,87.2
Eric Blinn,WR,,6004,190,4.68,4.59,31.5,10,87
Garrett Brown,WR,,5083,175,4.83,4.5,34,,86.4
Danny Woodson,WR,,6003,214,4.74,4.5,31.5,16,86.4
Sam Frasco,WR,,5086,181,4.65,4.29,32,12,86.2
De'Runnya Wilson,WR,22,6045,224,4.82,4.52,28.5,13,85
Jemond Hazely,WR,,5115,190,4.82,4.33,31.5,16,84.5
David Glidden,WR,,5076,173,4.57,4.31,29.5,,84
Ilir Emini,WR,,5073,173,4.84,4.3,33,9,83.8
Kyle Johnson,WR,,6001,189,4.65,4.64,32,,82.1
Larves Jones,WR,,6023,221,4.77,4.76,30.5,,82
Ryan Burbrink,WR,,5076,183,4.73,4.27,31,11,81.1
Elgin Long,WR,,5096,186,4.69,4.69,32.5,11,79.4
Kris Strange,WR,,5103,182,4.8,4.64,32.5,5,79.3
Avery Sweeting,WR,,5084,152,4.52,4.34,33,,78.7
Jarrian Rhone,WR,,5070,165,4.69,4.75,34.5,11,78.5
Brandon Sheperd,WR,,6015,203,4.72,4.59,31.5,8,77.8
Artie Checchin,WR,,5117,200,4.84,4.28,28.5,17,76.6
Latroy Pittman Jr.,WR,,5107,207,4.69,4.75,29,14,76.1
Claude Garrett,WR,,6011,211,4.71,4.69,29.25,9,76
Eric Shufford Jr.,WR,,5103,188,4.79,4.53,32,6,75.6
Macgarrett Kings Jr.,WR,,5087,180,4.74,4.76,32,9,73.8
D.J. Vinson,WR,,5087,210,4.81,4.59,27,11,72.8
Kody Cook,WR,,6003,203,4.82,4.56,27.5,10,72.5
Shaq Hall,WR,,6001,202,4.89,4.69,28,14,72.2
Cedric Thompson,WR,,5080,170,4.82,4.6,29,14,70.1
Bryan Fobbs,WR,,5114,190,5,4.52,26,3,61.8
Gavin Sinclair,WR,,5096,161,4.88,4.64,29.5,,60.6
Chris Brown,WR,21.7,6020,194,,,,,
Laquon Treadwell,WR,21.2,6020,221,,,33,12,
Pharoh Cooper,WR,21.5,5111,203,,,31,15,
Rashawn Scott,WR,24.6,6007,199,,,32.5,17,
name,pos,age,height,weight,forty_yard,shuttle,vertical_jump,bench_press,psqarq
Rashawn Scott,WR,24.6,6007,199,,,32.5,17,
Ben Braunecker,TE,,6033,250,4.7,4.2,37.5,20,132.9
Stephen Anderson,TE,23.6,6021,230,4.64,4.13,38,16,129.3
Beau Sandland,TE,23.5,6044,253,4.74,4.33,35,23,124.2
Kyle Carter,TE,,6033,243,4.64,4.37,35.5,13,121
Ben Madon,TE,,6037,233,4.66,4.36,34.5,24,120.8
Jason Vander Laan,TE,,6033,243,4.76,4.16,30.5,27,120.8
Austin Hooper,TE,21.8,6036,254,4.7,4.32,33,19,120.2
Cole Wick,TE,,6053,256,4.93,4.32,36.5,14,119.9
Ryan Malleck,TE,23.1,6044,247,4.81,4.33,34.5,18,119.7
Braedon Bowman,TE,,6033,240,4.67,4.37,35.5,26,119.2
Jerell Adams,TE,23.7,6051,247,4.64,4.31,32.5,,118.2
David Morgan,TE,23.3,6041,262,4.89,4.19,32,29,118.1
Joe Sommers,TE,,6026,241,4.64,4.34,36,23,117.2
Thomas Duarte,TE,21.4,6021,231,4.68,4.24,33.5,12,116.7
Steven Scheu,TE,,6044,253,4.75,4.35,33,23,115.3
David Reeves,TE,,6047,250,4.71,4.57,35.5,18,114.4
Hunter Henry,TE,21.7,6047,250,4.68,4.41,31.5,21,111.7
Temarrick Hemingway,TE,23.1,6047,244,4.71,4.31,30.5,18,111.3
Garrett Griffin,TE,,6041,237,4.75,4.56,36,15,110.7
Gabe Hughes,TE,,6033,239,4.7,4.52,32,22,110.6
J.P. Holtz,TE,,6030,238,4.79,4.33,33,20,109.4
Gus Penning,TE,,6050,249,4.76,4.37,31.5,,104.9
Terenn Houk,TE,,6040,229,4.84,4.37,32,15,104.4
Mark Weiser,TE,,6052,241,4.8,4.41,30,18,100.9
Adam Fuehne,TE,,6075,253,5.06,4.14,31.5,,100.7
Kivon Cartwright,TE,,6037,243,4.77,4.8,34.5,23,100.5
