name,pos,height,weight,forty_yard,shuttle,vertical_jump,powerball,bench_press,sparq
Kyle Buss,CB,10-May,170,4.77,4,30.7,38,17,100.56
Zach Floyd,RB,5-8.5,174,4.76,4.1,34,37.5,16,100.47
Nate Gneiting,S,5-11.5,161,4.59,4.1,33.1,36.5,14,100.44
Alexander Kline,RB,5-9.5,207,4.76,4.58,33.6,41,22,100.41
Kaimana Nacua,QB,1-Jun,196,4.71,4.09,33,35,12,100.41
Da'shawn Hand,DL,6-3.5,245,4.81,4.61,33.4,39,18,100.38
Taco Charlton,DL,6-Jun,249,4.89,4.5,31.6,40,20,100.29
Tony Brown,DB,5-11.5,179,4.52,4.12,33.5,32.5,8,100.23
Chris Collins,RB,8-May,163,4.69,4.18,34.3,38.5,18,100.08
Terrell Brown,LB,Jun-00,187,4.69,4.37,39.4,35,12,100.02
Joseph Siegenthaler,S,10-May,170,4.67,4.36,33,40.5,21,100.02
Artie Burns,CB,Jun-00,183,4.5,4.32,33.7,36,13,99.99
Royce Freeman,RB,5-11.5,216,4.76,4.36,33.4,38,17,99.72
Jacob Nichols,RB,11-May,181,4.75,4.04,33.6,35.5,13,99.66
Tray Matthews,S,Jun-00,194,4.74,4.37,36,38,17,99.63
Dhaniel Bly,CB,8-May,161,4.75,4.15,34.9,38.5,18,99.42
Sam Baldwin,DB,1-Jun,170,4.65,4.18,37.4,34,10,99.39
Kevin Holmes Ii,LB,6-.5,214,4.9,4.25,31,40,20,99.33
Isaiah Jones,WR,6-3.5,194,4.69,4.18,32.2,36.5,14,99.33
Elijah Hood,RB,Jun-00,209,4.55,4.53,33.2,37.5,16,99.21
Anthony Cota,RB,6-1.5,209,4.67,4.47,36.6,36,13,99.12
Kedron Banks,RB,7-May,165,4.5,4.22,34.6,34.5,11,99.09
Darius Chapes,LB,5-11.5,196,4.9,4.28,33.9,40,20,99.06
Corey Winfield,WR,6-.5,174,4.71,4.3,38,36.5,14,99
Grant Jansen,RB,3-Jun,203,4.89,4.3,35.5,38.5,18,98.94
Brandon Cox,CB,7-May,154,4.49,4.18,34,35,12,98.91
name,pos,height,weight,forty_yard,shuttle,vertical_jump,powerball,bench_press,sparq
Jesse Bray,WR,Jun-00,194,4.62,4.23,31.5,36.5,14,98.88
Rayfield Dixon,LB,3-Jun,192,4.82,4.28,38.1,36,13,98.88
David Akintonde,CB,5-6.5,161,4.56,4.18,38.6,31.5,6,98.64
Khalfani Muhammad,RB,5-7.5,161,4.58,4.09,35.5,33,8,98.64
Colton Mc Donald,S,Jun-00,174,4.75,4.06,35.7,34,10,98.61
Marcus Martin,TE,1-Jun,216,4.72,4.52,35,38,17,98.58
Skyler Phillips,OL,3-Jun,337,5.37,4.81,25.1,44,27,98.58
Tymashian Clemons,QB,5-10.5,165,4.72,3.98,34.8,33,8,98.55
Alex Gomez,WR,11-May,168,4.56,4,31.7,32,7,98.52
Brian Musial,LB,10-May,185,4.7,4.34,30.3,40.5,21,98.49
Seth Myers,WR,3-Jun,203,4.84,4.34,31.2,40.5,21,98.43
Arie Mcquaig Jr,RB,11-May,214,4.82,4.24,30.4,39,18,98.4
Jalen Ortiz,CB,9-May,168,4.54,4.27,35.1,35.5,13,98.4
Jayme Thompson,S,6-1.5,183,4.54,4.23,32,35.5,13,98.4
Marcus Lindsey,LB,8-May,212,5.07,4.53,37.9,40,20,98.28
Phillip Booker,CB,5-11.5,159,4.68,4.1,35,36,13,98.25
Kennedy Tulimasealii,DL,1-Jun,300,4.99,4.75,25.2,43,25,98.25
Trevor Walker,DB,10-May,185,4.87,4.31,36.7,39,18,98.1
Lawrence Austin,CB,8-May,172,4.66,4.06,37.1,31,5,98.07
Hobbs Knowlton,WR,Jun-00,179,4.79,4.03,34.8,34,10,98.04
Alexander O Neill,WR,10-May,181,4.73,4.31,32.6,40,20,98.04
David Coggins,WR,11-May,179,4.75,4.2,33.5,38,17,97.95
Paul Robertson,RB,5-9.5,185,4.68,4.36,31.6,40,20,97.95
Larenz Bryant,LB,6-.5,207,4.61,4.47,34.2,36.5,14,97.89
James Washington,LB,8-May,205,4.86,4.47,32.4,41,22,97.89
Kendrick Igbinoba,QB,6-1.5,220,4.84,4.41,34.4,38,17,97.86
Gena Adams,RB,7-May,176,4.46,4.46,35.3,35,12,97.83
Jabari Anderson,RB,7-May,174,4.71,3.94,36.2,30,3,97.8
Cre Moore,DB,11-May,168,4.51,4.37,36.3,35,12,97.8
Jon Yohman,DE,1-Jun,254,4.79,4.52,28.2,40,20,97.8
Blake Martin,RB,11-May,194,4.76,4.27,34,37.3,16,97.71
Anthony Walker Jr,LB,1-Jun,207,4.48,4.44,35.1,32,7,97.71
Jeremy Jordan,WR,9-May,157,4.43,4.16,31.3,33.5,9,97.65
Kenny Howard,DL,6-1.5,320,5.48,4.53,26.1,40,20,97.62
Madison Miller,LB,3-Jun,218,4.8,4.43,27.4,42,23,97.59
Craig Mackey,CB,5-10.5,174,4.93,4.45,36.4,44.5,28,97.53
Clyde Newton,RB,1-Jun,201,4.87,4.41,34.7,40,20,97.53
Deion Tidwell,RB,5-6.5,187,4.88,4.28,33.6,40,20,97.5
Tearris Wallace,RB,5-8.5,207,4.64,4.22,31.2,35,12,97.47
Tanner Vallejo,LB,1-Jun,220,4.74,4.3,32.6,35.5,13,97.17
Caleb Brantley,DL,3-Jun,304,5.39,4.7,26.7,42,23,97.05
Donte Starlin Merriam,RB,8-May,185,4.82,4.27,34,39,18,97.05
Delvonte Moore,CB,10-May,192,4.75,4.29,33.1,38,17,96.99
Shaquill Griffin,CB,1-Jun,183,4.59,4.47,33.2,39,18,96.96
Easton Pingleton,WR,5-10.5,165,4.7,4.18,34.2,37,15,96.93
Dan Hare,S,10-May,187,4.64,4.4,32.5,39,18,96.9
Ja Juan Pollock,WR,8-May,152,4.62,4.32,34.9,39,18,96.9
Tony Ellison,WR,11-May,159,4.54,4.04,28.7,36,13,96.81
Chris Jordan,RB,10-May,205,4.73,4.3,30.9,38,17,96.78
Aaron Bell,CB,9-May,150,4.81,4.25,38.7,38,17,96.75
name,pos,height,weight,forty_yard,shuttle,vertical_jump,powerball,bench_press,sparq
Hamilton Anoa'i,S,6-2.5,205,4.6,4.24,30.9,34.5,11,96.72
John Marvin,CB,1-Jun,187,4.66,4.25,36.3,33,8,96.72
Shaquem Griffin,S,1-Jun,183,4.65,4.16,31.4,36,13,96.69
Skyler Phillips,OL,6-2.5,340,5.33,4.97,24.2,44,27,96.69
Austin Jenkins,LB,5-11.5,196,4.79,4.25,34.4,36.5,14,96.66
Marquis Griffin,DB,5-10.5,181,4.65,4.13,34.3,33,8,96.63
Cooper Bateman,QB,3-Jun,190,4.77,4.38,35.2,38.5,18,96.57
Tyler Henderson,RB,8-May,165,4.58,4.18,32.9,35.5,13,96.57
Ben Oberste,QB,6-.5,194,4.78,4.33,37.4,35.5,13,96.48
Skyler Humphrey,RB,7-May,157,4.75,4.04,36.3,34,10,96.42
Jared Reimel,QB,3-Jun,194,4.67,4.19,32,35,12,96.33
Kelvin Taylor,RB,11-May,216,4.63,4.59,31,39.5,19,96.3
Thaddeus Snodgrass,WR,Jun-00,174,4.64,4.33,34.6,37,15,96.27
Justin Smith,RB,11-May,220,4.65,4.37,31.6,35.5,13,96.24
Carter Blaise,WR,Jun-00,198,4.81,4.28,35.9,35.5,13,96.21
Zachary Smierciak,LB,2-Jun,216,4.74,4.4,31.4,38,17,96.21
Zachary Smierciak,LB,2-Jun,216,4.74,4.4,31.4,38,17,96.21
Ranthony Texada,CB,10-May,152,4.55,4.06,35.2,31.5,6,96.21
Alex Kasirye,CB,5-7.5,165,4.68,4.56,39.1,39,18,96.18
Dakota Cox,LB,Jun-00,220,4.75,4.19,29.3,36,13,96.15
Joshua Price,LB,9-May,201,4.83,4.29,27.5,41,22,96
Jonathan Johnson,RB,6-.5,185,4.8,4.44,37.1,38.5,18,95.97
Joshua Mercer,RB,5-10.5,185,4.58,4.22,31.7,35,12,95.97
Dylan Merchant,LB,Jun-00,190,4.74,4.09,34.9,32,7,95.97
Dominic Walker,WR,6-1.5,194,4.79,4.16,32.8,36,13,95.94
Keion Miller,WR,2-Jun,172,4.66,4.26,35.3,36,13,95.91
Hakeem Deggs,WR,7-May,150,4.41,4.22,36.8,30,3,95.85
Stepheny Durham Iv,CB,10-May,168,4.7,4.53,38.5,39,18,95.85
Trevor Bearden,WR,1-Jun,198,4.65,4.22,33.7,33,8,95.82
David Hamm,RB,5-11.5,201,4.62,4.28,27.7,38,17,95.79
John Schilleci,CB,5-10.5,187,4.61,4.15,32.8,32.5,8,95.79
Dionza Blue,S,11-May,174,4.65,4.44,35.5,38,17,95.76
Nico Falah,OL,4-Jun,267,5.03,4.28,27.3,38,17,95.76
David Williams,RB,6-.5,192,4.66,4.26,31.7,36.5,14,95.76
Mitchell Layton,RB,6-.5,192,4.84,4.27,33.9,38,17,95.73
Cameron Hartsfield,CB,5-10.5,183,4.53,4.41,36.9,33,8,95.7
Justin Sweet,CB,5-9.5,174,4.55,4.07,32.9,31,5,95.64
Michael Nelson,WR,11-May,172,4.57,4.16,32.4,34,10,95.61
Matt Henderson,S,11-May,181,4.68,4.12,32.3,34.5,11,95.52
Erick Sampson,LB,11-May,187,4.79,4.21,31.9,38,17,95.49
Jordan Prentice,LB,11-May,216,4.83,4.63,30.9,42,23,95.43
Alexander Turner,RB,8-May,157,4.76,4.07,37.7,33,8,95.43
Jon Reschke,LB,2-Jun,225,4.8,4.25,31.8,35,12,95.4
Christian La Couture,DE,6-4.5,256,5.04,4.44,26.7,41,22,95.37
Ta Vion Garrison,S,5-10.5,183,4.71,4.09,33.6,33,8,95.25
Donovahn Jones,QB,2-Jun,190,4.69,4.12,35.3,31,5,95.25
Devin Price,S,11-May,179,4.79,4.14,37.5,32.5,8,95.25
Tyler Foreman,S,6-1.5,161,4.63,4.26,34,37,15,95.19
Abdul Rahman Ibrahim,CB,5-11.5,168,4.65,4.21,32.4,37,15,95.16
Nathaniel Miller Jr.,WR,5-8.5,159,4.53,4.27,34.8,34.5,11,95.07
name,pos,height,weight,forty_yard,shuttle,vertical_jump,powerball,bench_press,sparq
Dante Jones,WR,5-10.5,172,4.81,4.07,33.4,36,13,94.98
Drew Gibson,LB,6-.5,231,4.82,4.42,31,38,17,94.95
Mikel Horton,RB,1-Jun,227,4.83,4.55,33.3,38.5,18,94.95
Sheldon Fleming,TE,3-Jun,238,4.83,4.79,29.7,42,23,94.89
Jonathan Huckins,OL,3-Jun,306,5.14,4.65,23.2,42,23,94.86
Matthew Denning,WR,Jun-00,185,4.67,4.22,32,36,13,94.8
Xavier Lewis,S,Jun-00,185,4.76,4.22,34,36,13,94.8
Rapheal Webb,RB,10-May,190,4.77,4.38,36.3,36.5,14,94.8
Jermaine Grace,LB,6-.5,196,4.57,4.4,34.1,34,10,94.77
Jalen Latter,CB,11-May,183,4.64,4.28,35.9,33,8,94.77
Keyon Brown,DE,2-Jun,227,4.77,4.59,32.8,38.5,18,94.74
Nathan Ahlers,LB,Jun-00,209,4.79,4.28,30.5,37.5,16,94.65
Brandon Cox,CB,5-7.5,163,4.55,4.16,32.8,33.5,9,94.62
Steven Mitchell,WR,5-10.5,176,4.63,4.26,33.3,35.5,13,94.62
Xavier Smith,S,1-Jun,183,4.82,4.4,34.9,39.5,19,94.62
Chris Beeson,RB,7-May,172,4.69,4.15,30.7,37,15,94.59
Tirell Wellmaker,S,5-10.5,194,4.7,4.29,30.9,37.5,16,94.59
Joe Bean,WR,1-Jun,187,4.75,4.41,34.9,38,17,94.56
Vince Dinkel,WR,1-Jun,181,4.98,4.15,34,38,17,94.38
Jordan Swan,LB,1-Jun,209,4.86,4.34,35.6,35.5,13,94.38
Richardre Bagley,RB,8-May,159,4.56,4.24,35.8,33,8,94.35
Lj Scott,RB,10-May,198,4.92,4.38,29.3,42,23,94.32
Kyle Helmle,S,11-May,183,4.62,4.16,30.2,35,12,94.17
Branton Lee,WR,8-May,163,4.56,4.19,32.6,34.5,11,94.14
Omari Montgomery,RB,10-May,192,4.7,4.27,31.2,37,15,94.14
Beau Huffman,TE,1-Jun,181,4.77,4.27,29.9,40,20,94.11
Kellen Ash,LB,6-1.5,194,4.86,4.25,33.7,37,15,94.08
Jake Smirk,DE,6-1.5,223,4.88,4.27,30.8,37,15,94.05
Ryan Walsh,CB,5-11.5,165,4.64,4.28,33.8,36.5,14,94.05
Darius Bowen,RB,8-May,176,4.63,4.13,32.6,33,8,94.02
Joe Ferguson,QB,1-Jun,187,4.71,4.24,31.5,36.5,14,94.02
Torii Hunter Jr.,WR,6-.5,170,4.51,4.63,36.2,37,15,94.02
Aj Kehm,DE,6-3.5,256,5.16,4.75,33.7,40,20,94.02
Kristofer Sapp,CB,5-11.5,172,4.72,4.29,37.2,35,12,93.93
Elie Turene,RB,9-May,183,4.7,4.44,39.6,33.5,9,93.87
Lonnie Tuff,RB,10-May,176,4.75,4.29,34.7,37,15,93.84
Derrick Souder,RB,7-May,214,4.6,4.84,27.3,41.5,23,93.81
Christopher Woolbright,LB,2-Jun,192,4.6,4.3,32.1,34.5,11,93.81
Corbin Jountti,RB,5-10.5,201,4.91,4.16,30.9,37.5,16,93.78
Kristofer Sapp,CB,5-11.5,170,4.68,4.09,32.8,33.5,9,93.72
Scott Quessenberry,OL,6-3.5,269,5.09,4.57,29.3,40,20,93.69
Eli Woodard,CB,Jun-00,185,4.63,4.26,32.2,35,12,93.6
Connor Reed,WR,9-May,181,4.63,4.19,33.8,32.5,8,93.51
Antwan Washington,QB,1-Jun,198,4.96,4.47,38.9,37,15,93.51
Grant Cartwright,LB,3-Jun,216,4.91,4.47,32,40,20,93.48
Grant Cartwright,LB,3-Jun,216,4.91,4.47,32,40,20,93.48
Osirius Burke,RB,9-May,192,4.65,4.29,33.1,34.5,11,93.45
Kelsey Douglas,S,10-May,176,4.68,4.2,35.2,33,8,93.45
